name,class,scientific_axioms,all_axioms
RGFlow.continuum_limit_exists,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.continuum_limit_exists_aux,Classical.choice;Quot.sound;RGFlow.continuum_limit_exists_aux;propext
RGFlow.continuum_limit_exists_thm10,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.mass_gap,Classical.choice;Quot.sound;RGFlow.mass_gap;propext
RGFlow.continuum_limit_from_expansion,FOUNDATION_ONLY,,Classical.choice;Quot.sound;propext
RGFlow.continuum_limit_is_Delta0,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.mass_gap,Classical.choice;Quot.sound;RGFlow.mass_gap;propext
RGFlow.continuum_limit_unique,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.limit_unique_aux;RGFlow.mass_gap,Classical.choice;Quot.sound;RGFlow.limit_unique_aux;RGFlow.mass_gap;propext
RGFlow.continuum_limit_well_defined,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.Delta0;RGFlow.mass_gap_A;RGFlow.mass_gap_A_tendsto,Classical.choice;Quot.sound;RGFlow.Delta0;RGFlow.mass_gap_A;RGFlow.mass_gap_A_tendsto;propext
RGFlow.continuum_lipschitz_in_g,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.Delta0;RGFlow.mass_gap;RGFlow.mass_gap_lipschitz_in_g;RGFlow.mass_gap_tendsto_continuum,Classical.choice;Quot.sound;RGFlow.Delta0;RGFlow.mass_gap;RGFlow.mass_gap_lipschitz_in_g;RGFlow.mass_gap_tendsto_continuum;propext
RGFlow.continuum_mass_gap_continuous_in_g,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.Delta0;RGFlow.mass_gap;RGFlow.mass_gap_lipschitz_in_g;RGFlow.mass_gap_tendsto_continuum,Classical.choice;Quot.sound;RGFlow.Delta0;RGFlow.mass_gap;RGFlow.mass_gap_lipschitz_in_g;RGFlow.mass_gap_tendsto_continuum;propext
RGFlow.continuum_mass_gap_lower_bound,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.Delta0;RGFlow.mass_gap;RGFlow.mass_gap_lower_bound;RGFlow.mass_gap_tendsto_continuum,Classical.choice;Quot.sound;RGFlow.Delta0;RGFlow.mass_gap;RGFlow.mass_gap_lower_bound;RGFlow.mass_gap_tendsto_continuum;propext
RGFlow.continuum_mass_gap_ne_zero,SCIENTIFIC_AXIOM_DEPENDENT,RGFlow.Delta0;RGFlow.mass_gap;RGFlow.mass_gap_lower_bound;RGFlow.mass_gap_tendsto_continuum,Classical.choice;Quot.sound;RGFlow.Delta0;RGFlow.mass_gap;RGFlow.mass_gap_lower_bound;RGFlow.mass_gap_tendsto_continuum;propext
